case,storage_tau,role,spread,duration,memory,mean_spill_fraction,overflow_share
MANADO,0.0,urban_and_receiver,0,24,0.0,0.10753397931646093,0.3333333333333333
MANADO,0.0,urban_and_receiver,0,24,2.0,0.0900333123781658,0.3203125
MANADO,0.0,urban_and_receiver,8,2,0.0,0.4882228638954804,0.8984375
MANADO,0.0,urban_and_receiver,8,2,2.0,0.24307682098458083,0.66015625
MANADO,0.0,urban_and_receiver,8,8,0.0,0.2579008557893382,0.6328125
MANADO,0.0,urban_and_receiver,8,8,2.0,0.1814766255565322,0.5377604166666666
MANADO,0.0,urban_and_receiver,8,24,0.0,0.09931283241763202,0.328125
MANADO,0.0,urban_and_receiver,8,24,2.0,0.08608001375609904,0.3125
MANADO,0.0,urban_and_receiver,24,2,0.0,0.42054296687628595,0.8424479166666666
MANADO,0.0,urban_and_receiver,24,2,2.0,0.18241074998717158,0.5768229166666666
MANADO,0.0,urban_and_receiver,24,8,0.0,0.1907890990942774,0.515625
MANADO,0.0,urban_and_receiver,24,8,2.0,0.1309043322822683,0.4427083333333333
MANADO,0.0,urban_and_receiver,24,24,0.0,0.07684690713178918,0.2864583333333333
MANADO,0.0,urban_and_receiver,24,24,2.0,0.06555125075733707,0.265625
MANADO,2.0,urban_and_receiver,0,2,0.0,0.44435497645158567,0.9244791666666666
MANADO,2.0,urban_and_receiver,0,2,2.0,0.22612191057947428,0.640625
MANADO,2.0,urban_and_receiver,0,8,0.0,0.2574251123149663,0.6380208333333334
MANADO,2.0,urban_and_receiver,0,8,2.0,0.181676620131809,0.546875
MANADO,2.0,urban_and_receiver,0,24,0.0,0.10010966779238735,0.328125
MANADO,2.0,urban_and_receiver,0,24,2.0,0.08486736175653307,0.2981770833333333
MANADO,2.0,urban_and_receiver,8,2,0.0,0.40779502623394454,0.8671875
MANADO,2.0,urban_and_receiver,8,2,2.0,0.2195682737167595,0.6315104166666666
MANADO,2.0,urban_and_receiver,8,8,0.0,0.22908971063189879,0.5963541666666666
MANADO,2.0,urban_and_receiver,8,8,2.0,0.1703619779254888,0.515625
MANADO,2.0,urban_and_receiver,8,24,0.0,0.09421982631670826,0.3203125
MANADO,2.0,urban_and_receiver,8,24,2.0,0.0819589887399987,0.3033854166666667
MANADO,2.0,urban_and_receiver,24,2,0.0,0.334178379551717,0.8098958333333334
MANADO,2.0,urban_and_receiver,24,2,2.0,0.17153395920679063,0.55859375
MANADO,2.0,urban_and_receiver,24,8,0.0,0.17610653726297176,0.5078125
MANADO,2.0,urban_and_receiver,24,8,2.0,0.12433086381149945,0.4322916666666667
MANADO,2.0,urban_and_receiver,24,24,0.0,0.0747282527756113,0.2838541666666667
MANADO,2.0,urban_and_receiver,24,24,2.0,0.06300148764990421,0.2630208333333333
