scenario_id,duration,shape,spread,weights,activation,delay,memory,rep
258,2,triangle,8,equal,all,unit,0.0,2
259,2,triangle,8,equal,all,unit,0.0,3
260,2,triangle,8,equal,all,unit,2.0,0
261,2,triangle,8,equal,all,unit,2.0,1
262,2,triangle,8,equal,all,unit,2.0,2
263,2,triangle,8,equal,all,unit,2.0,3
264,2,triangle,8,equal,all,heterogeneous,0.0,0
265,2,triangle,8,equal,all,heterogeneous,0.0,1
266,2,triangle,8,equal,all,heterogeneous,0.0,2
267,2,triangle,8,equal,all,heterogeneous,0.0,3
268,2,triangle,8,equal,all,heterogeneous,2.0,0
269,2,triangle,8,equal,all,heterogeneous,2.0,1
270,2,triangle,8,equal,all,heterogeneous,2.0,2
271,2,triangle,8,equal,all,heterogeneous,2.0,3
272,2,triangle,8,equal,subset,unit,0.0,0
273,2,triangle,8,equal,subset,unit,0.0,1
274,2,triangle,8,equal,subset,unit,0.0,2
275,2,triangle,8,equal,subset,unit,0.0,3
276,2,triangle,8,equal,subset,unit,2.0,0
277,2,triangle,8,equal,subset,unit,2.0,1
278,2,triangle,8,equal,subset,unit,2.0,2
279,2,triangle,8,equal,subset,unit,2.0,3
280,2,triangle,8,equal,subset,heterogeneous,0.0,0
281,2,triangle,8,equal,subset,heterogeneous,0.0,1
282,2,triangle,8,equal,subset,heterogeneous,0.0,2
283,2,triangle,8,equal,subset,heterogeneous,0.0,3
284,2,triangle,8,equal,subset,heterogeneous,2.0,0
285,2,triangle,8,equal,subset,heterogeneous,2.0,1
286,2,triangle,8,equal,subset,heterogeneous,2.0,2
287,2,triangle,8,equal,subset,heterogeneous,2.0,3
288,2,triangle,8,random,all,unit,0.0,0
289,2,triangle,8,random,all,unit,0.0,1
290,2,triangle,8,random,all,unit,0.0,2
291,2,triangle,8,random,all,unit,0.0,3
292,2,triangle,8,random,all,unit,2.0,0
293,2,triangle,8,random,all,unit,2.0,1
294,2,triangle,8,random,all,unit,2.0,2
295,2,triangle,8,random,all,unit,2.0,3
296,2,triangle,8,random,all,heterogeneous,0.0,0
297,2,triangle,8,random,all,heterogeneous,0.0,1
298,2,triangle,8,random,all,heterogeneous,0.0,2
299,2,triangle,8,random,all,heterogeneous,0.0,3
300,2,triangle,8,random,all,heterogeneous,2.0,0
301,2,triangle,8,random,all,heterogeneous,2.0,1
302,2,triangle,8,random,all,heterogeneous,2.0,2
303,2,triangle,8,random,all,heterogeneous,2.0,3
304,2,triangle,8,random,subset,unit,0.0,0
305,2,triangle,8,random,subset,unit,0.0,1
306,2,triangle,8,random,subset,unit,0.0,2
307,2,triangle,8,random,subset,unit,0.0,3
308,2,triangle,8,random,subset,unit,2.0,0
309,2,triangle,8,random,subset,unit,2.0,1
310,2,triangle,8,random,subset,unit,2.0,2
311,2,triangle,8,random,subset,unit,2.0,3
312,2,triangle,8,random,subset,heterogeneous,0.0,0
313,2,triangle,8,random,subset,heterogeneous,0.0,1
314,2,triangle,8,random,subset,heterogeneous,0.0,2
315,2,triangle,8,random,subset,heterogeneous,0.0,3
316,2,triangle,8,random,subset,heterogeneous,2.0,0
317,2,triangle,8,random,subset,heterogeneous,2.0,1
318,2,triangle,8,random,subset,heterogeneous,2.0,2
319,2,triangle,8,random,subset,heterogeneous,2.0,3
320,2,triangle,24,equal,all,unit,0.0,0
321,2,triangle,24,equal,all,unit,0.0,1
322,2,triangle,24,equal,all,unit,0.0,2
323,2,triangle,24,equal,all,unit,0.0,3
324,2,triangle,24,equal,all,unit,2.0,0
325,2,triangle,24,equal,all,unit,2.0,1
